name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"MuscleBlaze Beginner's Whey Protein (Chocolate, 1 kg / 2.2 lb) No Added Sugar, Faster Muscle Recovery & Improved Strength",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61kakn7F+rL._AC_UL320_.jpg,https://www.amazon.in/MuscleBlaze-Beginners-Protein-Supplement-Chocolate/dp/B0791H11NF/ref=sr_1_193?qid=1679215997&s=hpc&sr=1-193,4.0,"10,404","₹1,349","₹1,749"
Endura Mass Weight Gainer - 500 g (Chocolate),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/81hcIJfQLTL._AC_UL320_.jpg,https://www.amazon.in/Endura-Mass-Weight-Gainer-Chocolate/dp/B00KTA7072/ref=sr_1_194?qid=1679215997&s=hpc&sr=1-194,3.7,"9,048",₹563,₹625
"Neuherbs Skin Collagen, 210g | Collagen Supplement for Women and Men with Biotin, Vitamin C, E, Antioxidant blend ,For Glo...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/713Cwx85MbL._AC_UL320_.jpg,https://www.amazon.in/Neuherbs-Plant-Based-Hyaluronic-Carotenoids-Anti-aging/dp/B096VJTFMJ/ref=sr_1_195?qid=1679215997&s=hpc&sr=1-195,4.1,"1,093",₹749,₹999
Carbamide Forte Melatonin Gummies 10mg for Better Sleep | Sleep Supplement - 60 Veg Gummies,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71fjiF6Q3yL._AC_UL320_.jpg,https://www.amazon.in/Carbamide-Forte-Sleeping-Melatonin-Gummies/dp/B08LH8HV1V/ref=sr_1_196?qid=1679215997&s=hpc&sr=1-196,3.9,"1,399",₹499,₹795
Carbamide Forte Multivitamin (100 Veg Tablets) for Women with 43 Ingredients,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/718gTJfVzuL._AC_UL320_.jpg,https://www.amazon.in/Carbamide-Forte-Multivitamin-Multimineral-Supplement/dp/B071S62PQP/ref=sr_1_197?qid=1679215997&s=hpc&sr=1-197,4.2,"2,100",₹499,₹795
Follihair New Nutraceutical Pack of 30N Tablets Bottle,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51BuPqiRAWS._AC_UL320_.jpg,https://www.amazon.in/FOLLIHAIR-BIOTIN-TABLET-GROWTH-10000/dp/B08RX6J16T/ref=sr_1_198?qid=1679215997&s=hpc&sr=1-198,4.1,"2,290",₹567,₹630
"Fast&Up Creatine Monohydrate (Pack of 250 gms Powder, 83 Servings, Unflavored), Helps Sustain Longer Workout, Muscle Repai...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51ewH8BYRsL._AC_UL320_.jpg,https://www.amazon.in/Creatine-Servings-Monohydrate-Recovery-Unflavored/dp/B08WX6QQ12/ref=sr_1_199?qid=1679215997&s=hpc&sr=1-199,4.2,"2,954","₹1,075","₹1,699"
UPAKARMA Ayurveda Pure and Natural Shilajit/Shilajeet Resin 15g - Pack of 1,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61fDkrpk5YL._AC_UL320_.jpg,https://www.amazon.in/Upakarma-Natural-Original-Resin-Shilajit/dp/B07KPGKDB7/ref=sr_1_200?qid=1679215997&s=hpc&sr=1-200,3.9,"3,903",₹899,"₹1,450"
"Kapiva Dia Free Juice -(2L) | For Holistic Diabetes Care | Amla, Karela, Jamun, Guduchi & 7 More - Super Saver Pack of 2",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71CRikBcwFL._AC_UL320_.jpg,https://www.amazon.in/Kapiva-Dia-Free-Juice-Holistic/dp/B09MMJ7Z3M/ref=sr_1_201?qid=1679215997&s=hpc&sr=1-201,4.2,267,₹988,"₹1,098"
"Baidyanath Vansaar Triphala Juice, 1l | Helps Weight Management | Constipation Relief | 100% Herbal Juice made with organi...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/516dm8udaDL._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Triphala-Juice-1-L/dp/B00JYJQRVO/ref=sr_1_202?qid=1679215997&s=hpc&sr=1-202,4.2,"2,245",₹233,₹250
"HERBALIFE Weight Loss Combo (Formula 1 Kulfi Flavor, shake mate, protein powder & Afresh Energy Drink Lemon Flavor (1250 GM)",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51rYqrT1QtL._AC_UL320_.jpg,https://www.amazon.in/HERBALIFE-Weight-Formula-Flavor-protein/dp/B09ZVQSF5F/ref=sr_1_203?qid=1679215997&s=hpc&sr=1-203,3.1,89,"₹3,039","₹5,157"
Cadbury Bournvita Chocolate Health Drink 1.5KG container (2 x 750g),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61k8Kj8lfRL._AC_UL320_.jpg,https://www.amazon.in/Cadbury-Bournvita-Chocolate-Health-container/dp/B0B77YSY81/ref=sr_1_204?qid=1679215997&s=hpc&sr=1-204,4.5,108,₹590,₹670
Trivang by Vedrisi Pure Original Himalayan Shilajit/Shilajeet Resin 100% Natural Resin 20G Pack,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51AyQAEhcvL._AC_UL320_.jpg,https://www.amazon.in/Vedrisi-Pure-Shilajit-Natural-Resin/dp/B09DL9WKD4/ref=sr_1_205?qid=1679215997&s=hpc&sr=1-205,4.9,166,₹399,"₹1,599"
"Pediasure Complete Balanced Nutritional Supplement to Help Kids Grow - Pack of 2 kg powder (Vanilla) - Box, Blue",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71p2VRb59pL._AC_UL320_.jpg,https://www.amazon.in/Pediasure-Complete-Balanced-Nutritional-Supplement/dp/B09NTTKVXL/ref=sr_1_206?qid=1679215997&s=hpc&sr=1-206,4.5,"1,062",,"₹2,755"
herbalife F 1 Mango F 3 Protein Powder And Afresh Lemon,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/716wH8tCpLL._AC_UL320_.jpg,https://www.amazon.in/herbalife-Mango-Protein-Powder-Afresh/dp/B00TKMAZF4/ref=sr_1_207?qid=1679215997&s=hpc&sr=1-207,3.9,"5,232","₹2,475","₹4,476"
"Pediasure Complete Balanced Nutritional Supplement to Help Kids Grow - Pack of 2 kg Powder(Chocolate) Box, Purple",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71K6UOBbvXL._AC_UL320_.jpg,https://www.amazon.in/Pediasure-Complete-Balanced-Nutritional-Supplement/dp/B09NTSW7MD/ref=sr_1_208?qid=1679215997&s=hpc&sr=1-208,4.6,"1,393","₹2,700","₹2,755"
"MuscleBlaze Omega 3 Fish Oil Gold 1250mg, 60 Omega 3 Fish Oil Capsules, Triple Strength Formula (560mg EPA & 400mg DHA)",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61eZ5brGT3L._AC_UL320_.jpg,https://www.amazon.in/MuscleBlaze-Omega-560mg-400mg-capsules/dp/B08KZTVPC6/ref=sr_1_209?qid=1679215997&s=hpc&sr=1-209,4.3,"1,904",₹849,"₹1,149"
"Pediasure Zero Sucrose Complete Balanced Nutrition to Help Kids Grow - 400 gm Vanilla, Purple, (Pediasure Zero Sugar)",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71nD6BWNxoL._AC_UL320_.jpg,https://www.amazon.in/Pediasure-Zero-Complete-Balanced-Nutrition/dp/B09NP1K189/ref=sr_1_210?qid=1679215997&s=hpc&sr=1-210,4.3,173,₹565,₹595
"Himalayan Organics Plant Based Vitamin B-12 | Natural Wheat Grass, Moringa, Alfalfa | Boost Energy Level | Good For Nervou...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61yyro7OcyL._AC_UL320_.jpg,https://www.amazon.in/Himalayan-Organics-Organic-Vitamin-B12/dp/B07Y7P2S5T/ref=sr_1_211?qid=1679215997&s=hpc&sr=1-211,4.0,"3,210",₹549,₹699
"NAKPRO Perform Whey Protein Concentrate | 23g Protein, 5.05g BCAA per Serving | Muscle Recovery Workout Drink, Lean Muscle...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71njfzPayBL._AC_UL320_.jpg,https://www.amazon.in/Nakpro-PERFORM-Protein-Supplement-Powder/dp/B08MQ8LZXC/ref=sr_1_212?qid=1679215997&s=hpc&sr=1-212,4.0,"3,177","₹1,377","₹2,299"
"Just Jaivik USDA Certified Organic Ashwagandha Powder, 227g (0.5 LB) 8 oz",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/518PMHwxcGL._AC_UL320_.jpg,https://www.amazon.in/Just-Jaivik-Organic-Ashwagandha-Powder/dp/B01MSCK6XT/ref=sr_1_213?qid=1679215997&s=hpc&sr=1-213,4.0,"5,616",₹329,₹599
"NAKPRO PERFORM Whey Protein Concentrate |24g Protein, 5.7g BCAA|Unflavoured, 1 kg| Added Digestive Enzymes | Easy Mixing, ...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71aePF9+RFL._AC_UL320_.jpg,https://www.amazon.in/NAKPRO-Perform-Concentrate-Digestive-Supplement/dp/B07YX4VLC2/ref=sr_1_214?qid=1679215997&s=hpc&sr=1-214,3.9,"2,662","₹1,399","₹1,999"
Baidyanath Mahatriphala Ghrita - 100 g,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/7114RZpGumL._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Mahatriphala-Ghrita-100-g/dp/B00I5D12UG/ref=sr_1_215?qid=1679215997&s=hpc&sr=1-215,4.1,"1,348",₹191,₹249
"Swisse Fish Oil with 1500mg Omega 3 (Highest Fish Oil Concentrate In Single Capsule) Manufactured In Australia, Internatio...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61lg5ib8L+L._AC_UL320_.jpg,https://www.amazon.in/Swisse-Ultiboost-Odourless-Strength-Joints/dp/B0843NWTXB/ref=sr_1_216?qid=1679215997&s=hpc&sr=1-216,4.4,"2,705","₹1,719","₹2,349"
"Scivation Xtend BCAAs Powder for Adults (Pre-Workout, 7g BCAAs, 0g Carbs,Sugar & Calories, 3.5 Leucine, 2.5g L-Glutamine, ...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/81TrVC78B5L._AC_UL320_.jpg,https://www.amazon.in/Scivation-Xtend-BCAA-Watermelon-Servings/dp/B005CH0DT4/ref=sr_1_769?qid=1679216004&s=hpc&sr=1-769,4.0,"9,765","₹1,949","₹3,999"
Herbalife Pack of Cell-U- Loss Tablet,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71QNHvtSMnL._AC_UL320_.jpg,https://www.amazon.in/Herbalife-HERBALIFE-CELL-U-LOSS/dp/B07MDN99Q5/ref=sr_1_770?qid=1679216004&s=hpc&sr=1-770,3.8,212,"₹1,098","₹1,780"
Himalaya Liv.52 Syrup - 200ml,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/31JClmX1uLL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Liv-52-Syrup-200-ml/dp/B07438ZGRR/ref=sr_1_771?qid=1679216004&s=hpc&sr=1-771,4.3,748,₹141,₹150
"GNC Zeon Lifesciences Ltd GNC Pro Performance L-Glutamine 5000 mg - 50 Servings Powder- 0.55lbs, 250 gm (Unflavored)",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/616VmMMzP5L._AC_UL320_.jpg,https://www.amazon.in/GNC-Pro-Performance-L-Glutamine-5000/dp/B08P4G75H4/ref=sr_1_772?qid=1679216004&s=hpc&sr=1-772,4.3,288,₹779,"₹1,299"
"Guru Prasadam 51 Care Original Ayurvedic Kadha,210 gm",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61AVC+7HA6S._AC_UL320_.jpg,https://www.amazon.in/51-Original-Guru-Prasadam-Ayurvedic/dp/B092ZYHBVK/ref=sr_1_773?qid=1679216004&s=hpc&sr=1-773,3.6,306,₹333,₹533
Nutrilite Amway Milk Thistle Plus (60 Tablets),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71o6FsFoUcL._AC_UL320_.jpg,https://www.amazon.in/Amway-Nutrilite-Milk-Thistle-Tablets/dp/B071YD51CJ/ref=sr_1_774?qid=1679216004&s=hpc&sr=1-774,4.2,262,"₹1,359","₹1,893"
Baidyanath Triphala Guggulu Tablets 80 nos Jar,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71OG+9K-D2L._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Triphala-Guggulu-Tablets-nos/dp/B08MKXVMHB/ref=sr_1_775?qid=1679216004&s=hpc&sr=1-775,4.0,28,₹165,₹180
Herbalife Formula-1 Nutritional Shake (Kulfi) -500gms,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/41nDQB1y8PL._AC_UL320_.jpg,https://www.amazon.in/Herbalife-Formula-1-Nutritional-Shake-500gms/dp/B07L97WDSX/ref=sr_1_776?qid=1679216004&s=hpc&sr=1-776,4.0,578,"₹1,310","₹2,276"
"Ensure Plus Powder - 400g (Vanilla), Lecithin",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61hT0VoqgML._AC_UL320_.jpg,https://www.amazon.in/Ensure-Plus-Powder-400-Vanilla/dp/B07C176VC2/ref=sr_1_777?qid=1679216004&s=hpc&sr=1-777,4.5,199,₹793,₹835
Trimanthan Organics Gond Siyah (Kala Gond) For Joint Pain (100 GM) - Arthritis & Sciatica | For Back pain | Leg pain | Hea...,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71oY+NJZ49L._AC_UL320_.jpg,https://www.amazon.in/Trimanthan-Organics-Gond-Siyah-Joint/dp/B0B12MRXLW/ref=sr_1_778?qid=1679216004&s=hpc&sr=1-778,4.2,42,"₹1,299","₹1,398"
Patanjali Nutrela Gold Whey Protien Isolate Powder with Herbal Extracts and Digestive Enzymes | Lab Tested | Banned Substa...,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71I4TJDgh9L._AC_UL320_.jpg,https://www.amazon.in/Patanjali-Nutrela-Extracts-Digestive-Substance/dp/B09BFX21D1/ref=sr_1_779?qid=1679216004&s=hpc&sr=1-779,3.9,580,"₹1,845","₹3,500"
Baidyanath Panch Tulsi Drops - Immunity Booster - 30 ml,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/81k98uX-i5L._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Panch-Tulsi-Drops-Immunity/dp/B08L14X289/ref=sr_1_780?qid=1679216004&s=hpc&sr=1-780,4.2,"1,626",₹155,₹195
"MuscleBlaze Tribulus 1000 mg, Ayurveda For Performance (60 Tablets)",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61Zpw+ZKOjL._AC_UL320_.jpg,https://www.amazon.in/MuscleBlaze-Ayurveda-Performance-Tribulus-1000mg/dp/B08KZWP7G8/ref=sr_1_781?qid=1679216004&s=hpc&sr=1-781,4.1,742,₹299,₹399
Baidyanath Arjunarishta Liquid 450 ml,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51O9ABed-cL._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Arjunarishta-450-ml/dp/B07BDP3SQ5/ref=sr_1_782?qid=1679216004&s=hpc&sr=1-782,4.3,249,₹143,₹195
Healthyhey Nutrition N-Acetyl L-Cysteine (NAC) - Non-GMO - Gluten Free -Pack of 120 Veg. Capsules,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51XrVAAAZVL._AC_UL320_.jpg,https://www.amazon.in/HealthyHey-Nutrition-N-Acetyl-L-Cysteine-NAC/dp/B07VDX226Q/ref=sr_1_783?qid=1679216004&s=hpc&sr=1-783,4.2,306,₹948,"₹1,499"
"Nyumi Radiant Skin Gummies For Glowing Skin | With Vitamin C, Hyaluronic Acid, Curcumin Extract | 8 Essential Nutrients | ...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61AgMGj65aL._AC_UL320_.jpg,https://www.amazon.in/Hyaluronic-Curcumin-Essential-Vitamins-Minerals/dp/B093Y2FGG5/ref=sr_1_784?qid=1679216004&s=hpc&sr=1-784,3.8,168,₹715,"₹1,100"
"GLOWSIK L - Glutathion for skin with Grape Seed, Vitamin C&E 1000 mg - 60 capsules",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61T9KGfXldS._AC_UL320_.jpg,https://www.amazon.in/GLOWSIK-Glutathion-Grape-Vitamin-capsules/dp/B0BCJR3FT7/ref=sr_1_785?qid=1679216004&s=hpc&sr=1-785,4.1,256,₹599,"₹1,699"
"Zenith Nutrition Whey Protein (Double Rich Chocolate, 1050gms) with Enzymes for Digestion | 26g protein",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71lur4CoXVL._AC_UL320_.jpg,https://www.amazon.in/Zenith-Nutrition-Digestion-Sweetener-Chocolate/dp/B07NWNXZ4Z/ref=sr_1_786?qid=1679216004&s=hpc&sr=1-786,3.9,588,"₹1,775","₹2,499"
"Man Matters Beard Gummies for Men | 30 Days Pack | Thicken Beard, Stimulates Beard Follicles & Improves Beard Density | Bi...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71XQ19G1MjL._AC_UL320_.jpg,https://www.amazon.in/Man-Matters-Stimulates-D-aspartic-Gelatin-Free/dp/B09X7H29TN/ref=sr_1_787?qid=1679216004&s=hpc&sr=1-787,3.7,192,₹449,₹499
Zandu Pancharishta Sugar Free 650ml,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61YmwmZIvpL._AC_UL320_.jpg,https://www.amazon.in/Zandu-Pancharishta-Ayurvedic-Digestive-Suitable/dp/B09NDV292Z/ref=sr_1_788?qid=1679216004&s=hpc&sr=1-788,4.5,9,₹210,₹225
"Traya Health Tatva Immunity Booster Tablet for Stress Relief & Metabolism Boost, Plant-based Ayurvedic Tablets, Contains P...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51AU9o+H8KL._AC_UL320_.jpg,https://www.amazon.in/Traya-Health-Ayurvedic-formula-tablets/dp/B096SL4MWJ/ref=sr_1_789?qid=1679216004&s=hpc&sr=1-789,4.1,49,₹285,₹300
"Baidyanath Khadirarishta | Ayurvedic Syrup for Skin Disorders | Blood Purifier, 450 ml",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51a6J3jnbUL._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Khadirarishta-Ayurvedic-Disorders-Purifier/dp/B09MKFPQP9/ref=sr_1_790?qid=1679216004&s=hpc&sr=1-790,4.1,148,₹122,₹190
